Time,ms,Pane1-DPM_MOTOR7_CURRENT,Pane1-DPM_MOTOR7_ENERGY,Pane1-DPM_MOTOR7_FREQ,Pane1-DPM_MOTOR7_PF,Pane1-DPM_MOTOR7_POWER,Pane1-DPM_MOTOR7_VOLTAGE
17/3/2021 15:00,0,29.3482763,29,50,0.901,287.5896606,"6,680.34"
17/3/2021 15:04,0,0.2024019,29,50,0.9993172,1.983377,"6,690.62"
17/3/2021 15:09,0,0,29,50,1,0,"6,695.45"
17/3/2021 15:14,0,0,29,50,1,0,"6,695.71"
17/3/2021 15:19,0,0,29,49.9997622,1,0,"6,696.20"
17/3/2021 15:24,0,0,29,49.9655178,1,0,"6,694.83"
17/3/2021 15:28,0,0,29,49.9997622,1,0,"6,697.22"
17/3/2021 15:33,0,0,29,50,1,0,"6,697.92"
17/3/2021 15:38,0,0,29,49.9715293,1,0,"6,695.72"
17/3/2021 15:43,0,0,29,49.9931511,1,0,"6,697.62"
17/3/2021 15:48,0,0,29,50,1,0,"6,702.41"
17/3/2021 15:52,0,0,29,50,1,0,"6,694.88"
17/3/2021 15:57,0,0,29,49.9489901,1,0,"6,685.31"
17/3/2021 16:02,0,0,29,49.9855831,1,0,"6,679.66"
17/3/2021 16:07,0,0,29,50,1,0,"6,685.55"
17/3/2021 16:12,0,0,29,50,1,0,"6,690.00"
17/3/2021 16:16,0,0,29,50,1,0,"6,691.37"
17/3/2021 16:21,0,0,29,50,1,0,"6,687.30"
17/3/2021 16:26,0,0,29,49.9964412,1,0,"6,686.79"
17/3/2021 16:31,0,0,29,49.9998811,1,0,"6,695.88"
17/3/2021 16:36,0,0,29,49.9827589,1,0,"6,698.62"
17/3/2021 16:40,0,0,29,49.9998811,1,0,"6,705.13"
17/3/2021 16:45,0,0,29,50,1,0,"6,710.61"
17/3/2021 16:50,0,0,29,50,1,0,"6,719.97"
17/3/2021 16:55,0,0,29,50,1,0,"6,731.13"
17/3/2021 17:00,0,0,29,50,1,0,"6,744.48"
17/3/2021 17:04,0,0,29,50,1,0,"6,756.81"
17/3/2021 17:09,0,0,29,50,1,0,"6,754.18"
17/3/2021 17:14,0,0,29,50,1,0,"6,746.10"
17/3/2021 17:19,0,0,29,50,1,0,"6,747.65"
17/3/2021 17:24,0,0,29,50,1,0,"6,756.55"
17/3/2021 17:28,0,0,29,50.0136983,1,0,"6,769.22"
