Time,ms,CT 9 return flow,CT 10 return flow,CH 7 condenser flow,CH 10 condenser flow,CH7 condenser in,CH7 condenser out,CH10 condenser in,CH10 condenser out
23/3/2021 15:00,0,908.1732746,803.4670305,853.203447,791.173283,27.9310342,31.72069,28.0517243,32.2827585
23/3/2021 15:04,0,910.5746993,800.1373469,853.1589227,790.9951942,27.9652793,31.8508199,28.0859694,32.4779551
23/3/2021 15:09,0,899.0323523,803.3408565,856.0211719,790.7950249,28.053936,31.9435432,28.174626,32.6119372
23/3/2021 15:14,0,903.486422,801.7021331,853.7714641,791.9744162,28.1389911,32.0389537,28.2568576,32.7068158
23/3/2021 15:19,0,909.5925497,800.6273445,852.4837996,788.5500837,28.1000717,32.0758371,28.227539,32.689727
23/3/2021 15:24,0,905.0439664,803.0415944,852.1387918,790.0525765,28.1103453,32.0724127,28.2206901,32.7000006
23/3/2021 15:28,0,909.4889516,811.1193386,855.3997723,789.930163,28.1034962,32.0861105,28.2309634,32.7205474
23/3/2021 15:33,0,904.6287472,803.3236092,854.5161312,789.7414268,28.1578603,32.317456,28.2684422,33.0539591
23/3/2021 15:38,0,902.478752,805.0573536,851.8343907,786.3262859,28.3066214,32.5634304,28.4778359,33.3916852
23/3/2021 15:43,0,907.2807198,804.455015,856.4001255,790.0287018,28.4835196,32.7904399,28.6212846,33.556123
23/3/2021 15:48,0,905.7456876,805.239664,858.4034424,789.8172376,28.5931038,32.9034491,28.706897,33.6931041
23/3/2021 15:52,0,905.8492814,807.3219633,860.3845305,790.2958203,28.6855655,33.0096075,28.8062062,33.7889887
23/3/2021 15:57,0,904.6716549,807.5861656,860.4535434,793.2611581,28.7406184,33.08856,28.8613074,33.8542692
23/3/2021 16:02,0,905.8360172,803.4836589,860.0905622,794.2502272,28.7926759,33.1996136,28.9105433,33.9140796
23/3/2021 16:07,0,914.2665628,805.4490904,860.0610588,797.1194204,28.8343632,33.2311537,28.9619024,34.0174076
23/3/2021 16:12,0,909.5767191,812.2693987,863.1439672,796.4405118,28.8172407,33.2482759,28.9379308,34.0413787
23/3/2021 16:16,0,907.7026778,808.134961,864.7688841,799.9352165,28.8617593,33.2996427,28.9858739,34.1235662
23/3/2021 16:21,0,914.2827885,805.7886604,859.9945171,799.2189688,28.892675,33.3340073,29.0202141,34.171748
23/3/2021 16:26,0,912.4665327,809.8020471,857.8332607,798.8049948,28.9070932,33.3606229,29.0356617,34.1785501
23/3/2021 16:31,0,915.7501995,804.6152082,859.2506144,793.3807219,28.8924847,33.326944,29.0029489,34.1408555
23/3/2021 16:36,0,910.3163789,813.8799649,861.8215542,788.4948225,28.8034475,33.234483,28.9310342,34.0655162
23/3/2021 16:40,0,911.1356888,807.5123299,860.408089,792.7129559,28.7897497,33.2036629,28.9002137,34.0244229
23/3/2021 16:45,0,918.5668396,814.4108667,867.1070358,794.5990331,28.5618074,32.982402,28.6007371,33.7588823
23/3/2021 16:50,0,912.5501158,813.9830972,867.2391492,797.0076887,27.9699299,32.3557671,28.0234466,33.1200932
23/3/2021 16:55,0,920.4680329,812.5293344,861.2227191,793.0544867,27.6295366,31.9845181,27.7260168,32.7707729
23/3/2021 17:00,0,915.7405185,810.5778072,865.3629361,792.8319008,27.4137928,31.7413794,27.5,32.5344822
23/3/2021 17:04,0,912.0018227,813.8773091,858.5849909,793.277083,27.3350291,31.6728901,27.4623304,32.4249001
23/3/2021 17:09,0,918.568999,813.5206039,860.8257629,790.6607762,27.3004749,31.6214036,27.4144586,32.3663265
23/3/2021 17:14,0,913.4309096,814.8891335,861.5262195,791.6615215,27.2750873,31.5644839,27.3964891,32.321583
23/3/2021 17:19,0,912.9862596,816.7960178,863.4969412,790.7935537,27.2725799,31.5207849,27.3965751,32.3137927
23/3/2021 17:24,0,915.1051678,816.6250021,859.4568987,794.2103545,27.296551,31.5344829,27.3999996,32.3137927
23/3/2021 17:28,0,909.1063097,818.1037467,860.5364777,794.1769539,27.3034,31.5516054,27.4239712,32.3103681
23/3/2021 17:33,0,916.6491033,816.6355461,865.7275035,793.1267455,27.3204512,31.5755294,27.4377405,32.330749
23/3/2021 17:38,0,924.7673226,816.8549525,862.6308033,792.7227953,27.3107486,31.5892389,27.428604,32.3001083
23/3/2021 17:43,0,913.1490457,811.3377727,861.5967951,796.3337065,27.2999279,31.5482285,27.4171697,32.2688225
23/3/2021 17:48,0,919.5905151,817.2125034,864.7353452,798.7043141,27.2896546,31.5413795,27.4068962,32.2482759
23/3/2021 17:52,0,919.8730339,819.5060558,865.3252094,795.6214078,27.3033524,31.5242569,27.4308678,32.2585492
23/3/2021 17:57,0,920.3519487,815.4662173,863.7709346,795.9426231,27.3170504,31.5411417,27.4140306,32.214412
23/3/2021 18:02,0,924.8288946,815.909844,866.8800541,800.6441786,27.2573536,31.4467615,27.3858124,32.1964902
23/3/2021 18:07,0,914.6464064,819.2024562,864.6544997,798.8345447,27.272247,31.4753626,27.3894407,32.2235674
23/3/2021 18:12,0,920.9560294,822.7836198,865.9232704,798.22241,27.2482759,31.4034479,27.3586202,32.1413787
23/3/2021 18:16,0,925.3068599,820.4900633,863.9867253,797.6436759,27.2243048,31.2733173,27.3243751,31.9975501
23/3/2021 18:21,0,915.7419581,821.4531154,866.647939,798.4796293,27.1697272,31.1669923,27.2731269,31.9251364
23/3/2021 18:26,0,925.4288151,817.5619715,867.8503574,797.5301768,27.114478,31.0931124,27.2500786,31.8822898
23/3/2021 18:31,0,927.0498455,818.6257854,865.771261,798.5753957,27.0653272,31.0137218,27.1756249,31.8135546
23/3/2021 18:36,0,918.3387935,822.3075477,863.2448225,797.7629247,27.0379312,31.0034483,27.1413799,31.7793101
23/3/2021 18:40,0,918.7531587,820.0944638,865.5152662,799.2097821,27.0447802,30.9794767,27.1516534,31.6765762
23/3/2021 18:45,0,915.1181197,821.9471505,865.685759,799.2971988,27.0142212,30.9929132,27.1585262,31.6452562
23/3/2021 18:50,0,915.150605,820.783647,864.2728398,798.8284344,27.0000484,31.0106525,27.1073239,31.68913
23/3/2021 18:55,0,917.2554664,822.3538544,865.2766598,796.6413119,27.0490371,31.297455,27.1697984,32.1566465
23/3/2021 19:00,0,914.1948305,823.1888049,864.1525795,796.507762,27.1586213,31.4275859,27.2896548,32.3689661
23/3/2021 19:04,0,919.167193,820.1609028,862.3495885,800.8817011,27.2442331,31.4652555,27.3512955,32.4340319
23/3/2021 19:09,0,919.4355265,824.2256179,863.9949197,801.3873246,27.231225,31.441712,27.3517236,32.410679
23/3/2021 19:14,0,922.3887175,821.2622009,865.6665154,801.8430624,27.1751973,31.0157842,27.2610335,31.819936
